Driver	DRIVER_MODULE	probe/attach	ID_table	man4	bus_types
aac                 	yes	   	   	yes	
aacraid             	yes	   	   	yes	
acpi_support        	yes	   	   	   	acpi
acpica              	yes	   	   	   	acpi,isa,pci
adb                 	yes	   	   	   	ofw
adlink              	yes	   	   	   	
ae                  	yes	   	   	yes	
age                 	yes	   	   	yes	spi
agp                 	yes	   	   	yes	
ahci                	yes	   	   	yes	acpi,ofw
aic7xxx             	yes	   	   	   	isa
al_eth              	yes	   	yes	   	pci
alc                 	yes	   	   	yes	
ale                 	yes	   	   	yes	spi
alpm                	yes	   	   	yes	
altera              	yes	   	   	   	ofw
amdgpio             	yes	   	   	   	acpi
amdpm               	yes	   	   	yes	
amdsbwd             	yes	   	   	yes	isa
amdsmb              	yes	   	   	yes	
amdsmn              	yes	   	   	yes	
amdtemp             	yes	   	   	yes	
arcmsr              	yes	   	   	yes	
asmc                	yes	   	   	yes	acpi
ata                 	yes	   	   	yes	isa,ofw
ath                 	yes	yes	   	yes	
atkbdc              	yes	   	   	yes	isa
atopcase            	yes	   	   	yes	acpi,spi
axgbe               	yes	   	   	   	acpi,mmc,ofw
bce                 	yes	   	   	yes	acpi
beri                	yes	   	   	   	ofw
bfe                 	yes	   	   	yes	
bge                 	yes	   	   	yes	acpi
bhnd                	yes	yes	   	yes	spi
bnxt                	yes	yes	   	yes	
bwi                 	yes	   	   	yes	
bwn                 	yes	yes	   	yes	
bxe                 	yes	   	   	yes	acpi,spi
cadence             	yes	   	   	   	ofw
cardbus             	yes	   	   	yes	pci
cas                 	yes	   	   	yes	ofw
cesa                	yes	   	   	   	ofw
cfe                 	yes	   	   	   	
cfi                 	yes	   	   	yes	ofw
chromebook_platform 	yes	   	   	yes	
ciss                	yes	   	   	yes	
coretemp            	yes	   	   	yes	
cpuctl              	   	   	   	yes	
cpufreq             	yes	   	   	yes	acpi,ofw
cxgb                	yes	   	   	yes	
cxgbe               	yes	yes	   	yes	
cyapa               	yes	   	   	yes	iic
dc                  	yes	   	   	yes	
dcons               	yes	   	   	yes	
dialog              	yes	   	   	   	iic,ofw
dpaa                	yes	   	   	   	ofw
dpaa2               	yes	   	   	   	acpi,ofw
dpms                	yes	   	   	yes	
drm2                	   	yes	   	   	iic
dwc                 	yes	   	   	   	mmc,ofw
dwwdt               	yes	   	   	   	ofw
e1000               	yes	   	   	   	spi
efidev              	yes	   	   	yes	acpi
ena                 	yes	   	yes	yes	pci
enetc               	yes	   	   	   	ofw
enic                	yes	   	   	yes	
eqos                	yes	   	   	   	ofw
et                  	yes	   	   	yes	
